Timestamp_ms,ADC1_Raw,ADC1_V_milli,ADC2_Raw,ADC2_V_milli,Heading_deci,Roll_deci,Pitch_deci,Quat_W_milli,Quat_X_milli,Quat_Y_milli,Quat_Z_milli,LinAccel_X_centi,LinAccel_Y_centi,LinAccel_Z_centi,AngVel_X_deci,AngVel_Y_deci,AngVel_Z_deci,Temp_C_deci,Encoder_Count,Encoder_RPM_deci
4899428,2376,2901,2222,2713,3256,31,75,-952,54,46,-294,-8,0,13,-8,-12,-11,410,-36636.0,0.0
4899446,2376,2901,2224,2715,3256,31,75,-952,54,46,-294,-8,0,13,-8,-12,-11,410,-36636.0,0.0
4899458,2376,2901,2228,2720,3256,32,75,-953,54,46,-294,-17,0,49,-7,-1,-8,410,-36636.0,0.0
4899477,2368,2891,2220,2710,3256,32,75,-953,54,46,-294,-17,0,49,-7,-1,-8,410,-36636.0,0.0
4899489,2371,2894,2223,2714,3256,32,75,-953,54,46,-294,-8,5,-1,-5,-23,-1,410,-36636.0,0.0
4899507,2375,2899,2222,2713,3256,32,75,-953,54,46,-294,-8,5,-1,-5,-23,-1,410,-36636.0,0.0
4899519,2374,2898,2224,2715,3256,33,75,-952,54,47,-294,-5,3,-16,-8,-35,6,410,-36636.0,0.0
4899538,2377,2902,2222,2713,3256,33,75,-952,54,47,-294,-5,3,-16,-8,-35,6,410,-36636.0,0.0
4899550,2375,2899,2223,2714,3256,34,75,-952,54,48,-294,-12,2,19,-8,-23,3,410,-36636.0,0.0
4899569,2375,2899,2222,2713,3256,34,75,-952,54,48,-294,-12,2,19,-8,-23,3,410,-36636.0,0.0
4899970,2362,2884,2214,2703,3256,27,76,-953,57,42,-294,-16,15,13,-26,59,10,410,-36627.0,0.0
4899989,2379,2904,2217,2706,3256,27,76,-953,57,42,-294,-16,15,13,-26,59,10,410,-36625.0,169.0
4900002,2373,2897,2208,2695,3255,25,77,-952,58,41,-295,-1,22,-17,-41,25,35,410,-36621.0,169.0
4900020,2383,2909,2218,2708,3255,25,77,-952,58,41,-295,-1,22,-17,-41,25,35,410,-36620.0,169.0
