timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z
5318,584,563,0.0007,20,0,0,0,0,0,0
5326,584,563,0.0007,20,0,0,0,0,0,0
5363,583,563,-0.0035,20,0,0,0,0,0,0
5402,583,563,-0.0035,24,0,0,0,0,0,0
5441,584,563,0.0007,32,0,0,0,0,0,0
5478,584,563,0.0007,32,0,0,0,0,0,0
5516,584,563,0.0007,32,0,0,0,0,0,0
5553,584,564,0.0037,32,0,0,0,0,0,0
5591,584,563,0.0007,32,0,0,0,0,0,0
5627,584,563,0.0007,32,0,0,0,0,0,0
5665,584,562,-0.0022,32,0,0,0,0,0,0
5704,584,563,0.0007,36,0,0,0,0,0,0
5741,584,564,0.0037,40,0,0,0,0,0,0
5779,584,563,0.0007,40,0,0,0,0,0,0
5816,584,564,0.0037,40,0,0,0,0,0,0
5854,583,563,-0.0035,46,0,0,0,0,0,0
5892,584,564,0.0037,47,0,0,0,0,0,0
5929,584,564,0.0037,47,0,0,0,0,0,0
5966,584,564,0.0037,47,0,0,0,0,0,0
6004,584,564,0.0037,47,0,0,0,0,0,0
6042,584,564,0.0037,47,0,0,0,0,0,0
6079,583,564,-0.0004,47,0,0,0,0,0,0
6118,584,563,0.0007,47,0,0,0,0,0,0
6155,584,564,0.0037,47,0,0,0,0,0,0
6193,584,563,0.0007,47,0,0,0,0,0,0
6230,583,562,-0.0065,47,0,0,0,0,0,0
6268,583,563,-0.0035,47,0,0,0,0,0,0
6307,583,564,-0.0004,47,0,0,0,0,0,0
6345,583,563,-0.0035,47,0,0,0,0,0,0
6384,584,564,0.0037,47,0,0,0,0,0,0
6421,584,563,0.0007,47,0,0,0,0,0,0
6459,584,563,0.0007,47,0,0,0,0,0,0
6496,582,564,-0.0046,47,0,0,0,0,0,0
6535,583,562,-0.0065,47,0,0,0,0,0,0
6574,583,563,-0.0035,47,0,0,0,0,0,0
6611,583,563,-0.0035,47,0,0,0,0,0,0
6650,584,563,0.0007,47,0,0,0,0,0,0
6687,583,563,-0.0035,47,0,0,0,0,0,0
6726,583,563,-0.0035,47,0,0,0,0,0,0
6764,582,562,-0.0107,47,0,0,0,0,0,0
6803,581,562,-0.0149,47,0,0,0,0,0,0
6842,581,562,-0.0149,47,0,0,0,0,0,0
6880,581,560,-0.0210,47,0,0,0,0,0,0
6919,580,561,-0.0222,47,0,0,0,0,0,0
6957,581,560,-0.0210,47,0,0,0,0,0,0
6995,580,561,-0.0222,47,0,0,0,0,0,0
7033,580,560,-0.0253,47,0,0,0,0,0,0
7072,579,560,-0.0296,47,0,0,0,0,0,0
7111,579,560,-0.0296,47,0,0,0,0,0,0
7149,580,561,-0.0222,47,0,0,0,0,0,0
7188,579,561,-0.0265,47,0,0,0,0,0,0
7226,579,561,-0.0265,47,0,0,0,0,0,0
7265,579,562,-0.0233,47,0,0,0,0,0,0
7304,578,561,-0.0307,47,0,0,0,0,0,0
7342,577,559,-0.0414,47,0,0,0,0,0,0
7380,577,559,-0.0414,47,0,0,0,0,0,0
7418,577,557,-0.0476,47,0,0,0,0,0,0
7457,577,558,-0.0445,47,0,0,0,0,0,0
7495,577,559,-0.0414,47,0,0,0,0,0,0
7534,575,558,-0.0533,47,0,0,0,0,0,0
7573,576,557,-0.0520,47,0,0,0,0,0,0
7611,576,557,-0.0520,47,0,0,0,0,0,0
7650,575,558,-0.0533,47,0,0,0,0,0,0
7688,576,557,-0.0520,47,0,0,0,0,0,0
7727,575,557,-0.0565,47,0,0,0,0,0,0
7764,576,556,-0.0552,47,0,0,0,0,0,0
7803,575,557,-0.0565,47,0,0,0,0,0,0
