timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z
5316,582,563,0.0030,9,0,0,0,0,0,0
5318,582,562,-0.0000,9,0,0,0,0,0,0
5324,582,562,-0.0000,9,0,0,0,0,0,0
5361,582,563,0.0030,9,0,0,0,0,0,0
5398,583,562,0.0042,9,0,0,0,0,0,0
5434,582,562,-0.0000,9,0,0,0,0,0,0
5472,581,562,-0.0042,9,0,0,0,0,0,0
5510,582,562,-0.0000,9,0,0,0,0,0,0
5547,582,562,-0.0000,11,0,0,0,0,0,0
5585,582,562,-0.0000,11,0,0,0,0,0,0
5623,582,563,0.0030,11,0,0,0,0,0,0
5661,582,562,-0.0000,12,0,0,0,0,0,0
5699,582,562,-0.0000,12,0,0,0,0,0,0
5738,584,563,0.0114,13,0,0,0,0,0,0
5776,582,563,0.0030,13,0,0,0,0,0,0
5813,582,563,0.0030,17,0,0,0,0,0,0
5851,583,563,0.0072,17,0,0,0,0,0,0
5888,583,563,0.0072,19,0,0,0,0,0,0
5925,582,563,0.0030,19,0,0,0,0,0,0
5962,582,564,0.0061,26,0,0,0,0,0,0
6000,582,563,0.0030,26,0,0,0,0,0,0
6037,579,562,-0.0127,26,0,0,0,0,0,0
6076,579,561,-0.0158,26,0,0,0,0,0,0
6115,577,560,-0.0275,26,0,0,0,0,0,0
6153,578,560,-0.0232,26,0,0,0,0,0,0
6192,577,558,-0.0338,26,0,0,0,0,0,0
6230,576,558,-0.0382,26,0,0,0,0,0,0
6268,574,558,-0.0470,26,0,0,0,0,0,0
6307,573,556,-0.0580,26,0,0,0,0,0,0
6345,571,556,-0.0670,26,0,0,0,0,0,0
6384,570,555,-0.0748,26,0,0,0,0,0,0
6422,569,554,-0.0828,26,0,0,0,0,0,0
6461,569,554,-0.0828,26,0,0,0,0,0,0
6499,567,551,-0.1023,28,0,0,0,0,0,0
6538,567,551,-0.1023,31,0,0,0,0,0,0
6577,566,550,-0.1105,34,0,0,0,0,0,0
6615,566,548,-0.1173,33,0,0,0,0,0,0
6653,563,548,-0.1322,41,0,0,0,0,0,0
6691,563,548,-0.1322,45,0,0,0,0,0,0
6730,563,547,-0.1356,52,0,0,0,0,0,0
6768,563,548,-0.1322,52,0,0,0,0,0,0
6807,561,547,-0.1457,52,0,0,0,0,0,0
6846,560,546,-0.1544,54,0,0,0,0,0,0
6884,560,545,-0.1580,55,0,0,0,0,0,0
6923,560,545,-0.1580,57,0,0,0,0,0,0
6961,560,546,-0.1544,58,0,0,0,0,0,0
7000,559,546,-0.1595,60,0,0,0,0,0,0
7038,554,547,-0.1808,61,0,0,0,0,0,0
7076,559,546,-0.1595,64,0,0,0,0,0,0
7115,558,545,-0.1684,66,0,0,0,0,0,0
7153,558,545,-0.1684,67,0,0,0,0,0,0
7192,559,545,-0.1632,70,0,0,0,0,0,0
7230,562,540,-0.1641,71,0,0,0,0,0,0
