timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value
5315,578,584,0.0070,75
5316,579,583,0.0067,75
5318,579,583,0.0067,75
5319,580,583,0.0101,75
5320,581,584,0.0169,75
5322,580,583,0.0101,75
5324,581,584,0.0169,75
5325,580,584,0.0136,75
5327,580,583,0.0101,75
5329,580,584,0.0136,75
5331,580,584,0.0136,75
5334,580,584,0.0136,75
5336,580,584,0.0136,75
5338,580,584,0.0136,75
5340,580,584,0.0136,75
5342,580,583,0.0101,75
5344,580,584,0.0136,75
5346,580,583,0.0101,75
5348,580,583,0.0101,75
5350,580,584,0.0136,75
5352,580,583,0.0101,74
5354,580,583,0.0101,74
5356,580,584,0.0136,74
5358,580,584,0.0136,74
5360,580,584,0.0136,74
5362,580,583,0.0101,74
5364,580,582,0.0066,74
5366,580,583,0.0101,74
5368,580,583,0.0101,74
5370,580,583,0.0101,74
5372,580,583,0.0101,74
5374,580,584,0.0136,74
5377,579,583,0.0067,74
5379,580,583,0.0101,74
5381,580,583,0.0101,74
5383,580,583,0.0101,74
5385,580,583,0.0101,74
5387,580,583,0.0101,73
5389,579,583,0.0067,73
5391,579,583,0.0067,73
5393,579,584,0.0103,73
5395,579,583,0.0067,73
5397,580,583,0.0101,73
5399,579,583,0.0067,73
5401,579,583,0.0067,73
5403,579,583,0.0067,73
5405,579,582,0.0032,73
5407,579,583,0.0067,73
5409,579,584,0.0103,73
5411,580,583,0.0101,73
5413,580,583,0.0101,73
5415,579,582,0.0032,73
5417,579,583,0.0067,73
5420,579,583,0.0067,73
5422,579,583,0.0067,73
5424,579,582,0.0032,73
5426,579,584,0.0103,73
5428,579,582,0.0032,73
5430,579,582,0.0032,73
5432,580,583,0.0101,73
5434,579,583,0.0067,73
5436,579,583,0.0067,73
5438,579,583,0.0067,73
5440,579,583,0.0067,73
5442,579,583,0.0067,73
5444,579,583,0.0067,73
5446,580,583,0.0101,73
5448,579,583,0.0067,73
5450,579,583,0.0067,73
5452,580,583,0.0101,73
5454,579,583,0.0067,73
5456,579,582,0.0032,73
5458,579,583,0.0067,73
5460,579,583,0.0067,73
5463,579,583,0.0067,73
5465,579,583,0.0067,73
5467,579,583,0.0067,73
5469,579,584,0.0103,73
5471,579,583,0.0067,73
5473,579,583,0.0067,73
5475,579,583,0.0067,73
5477,579,582,0.0032,73
5479,579,583,0.0067,73
5481,579,582,0.0032,73
5483,579,583,0.0067,73
5485,579,583,0.0067,73
5487,579,583,0.0067,73
5489,579,583,0.0067,73
5491,579,582,0.0032,73
5493,579,582,0.0032,73
5495,579,583,0.0067,73
5497,579,582,0.0032,73
5499,579,583,0.0067,73
5501,579,583,0.0067,73
5504,579,582,0.0032,73
5506,579,582,0.0032,73
5508,579,583,0.0067,73
5510,579,582,0.0032,72
5512,579,582,0.0032,72
5514,579,583,0.0067,72
5516,579,582,0.0032,72
5518,579,582,0.0032,72
5520,579,583,0.0067,72
5522,579,583,0.0067,72
5524,579,582,0.0032,72
5526,579,582,0.0032,72
5528,579,582,0.0032,72
5530,579,582,0.0032,72
5532,579,582,0.0032,72
5534,579,583,0.0067,72
5536,579,582,0.0032,72
5538,579,583,0.0067,72
5540,579,582,0.0032,72
5542,579,582,0.0032,72
5544,579,582,0.0032,72
5547,579,582,0.0032,72
5549,579,583,0.0067,72
5551,579,582,0.0032,72
5553,579,582,0.0032,72
5555,579,582,0.0032,72
5557,579,582,0.0032,72
5559,579,582,0.0032,72
5561,579,582,0.0032,72
5563,579,582,0.0032,72
5565,579,583,0.0067,72
5567,579,582,0.0032,72
5569,579,581,-0.0003,72
5571,579,582,0.0032,72
5573,579,583,0.0067,72
5575,580,582,0.0066,71
5577,580,582,0.0066,71
5579,580,582,0.0066,71
5581,578,581,-0.0038,71
5583,579,582,0.0032,71
5585,579,583,0.0067,71
5587,579,583,0.0067,71
5590,579,582,0.0032,71
5592,579,582,0.0032,71
5594,579,582,0.0032,71
5596,578,582,-0.0002,71
5598,578,582,-0.0002,71
5600,578,582,-0.0002,71
5602,579,582,0.0032,71
5604,579,582,0.0032,71
5606,578,582,-0.0002,71
5608,579,582,0.0032,71
5610,579,582,0.0032,71
5612,579,583,0.0067,71
5614,579,582,0.0032,71
5616,579,582,0.0032,71
5618,579,582,0.0032,71
5620,580,583,0.0101,71
5622,580,583,0.0101,71
5624,580,583,0.0101,71
5626,579,583,0.0067,71
5628,579,583,0.0067,71
5630,579,582,0.0032,71
5633,580,583,0.0101,71
5635,580,582,0.0066,71
5637,580,582,0.0066,71
5639,580,582,0.0066,71
5641,579,583,0.0067,71
5643,579,582,0.0032,71
5645,580,582,0.0066,71
5647,579,583,0.0067,71
5649,579,582,0.0032,71
5651,578,582,-0.0002,71
5653,579,583,0.0067,71
5655,579,582,0.0032,71
5657,579,582,0.0032,71
5659,579,582,0.0032,71
5661,579,582,0.0032,71
5663,579,583,0.0067,71
5665,579,583,0.0067,71
5667,579,583,0.0067,71
5669,579,583,0.0067,71
5671,579,583,0.0067,71
5673,579,583,0.0067,71
5676,579,583,0.0067,71
5678,579,582,0.0032,71
5680,579,583,0.0067,71
5682,579,583,0.0067,71
5684,579,583,0.0067,71
5686,579,582,0.0032,71
5688,579,583,0.0067,71
5690,579,583,0.0067,71
5692,579,583,0.0067,71
5694,580,583,0.0101,71
