timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,gt_velocity_savgol,dpss_lstm_filtered,traditional_filtered
5314,579,583,-0.0103,-110,0.009813128480354988,0.1305539586482618,0.00022702702702702703
5315,580,584,-0.0034,-110,0.007067227633675616,0.13046649893982876,0.0003189189189189189
5317,580,584,-0.0034,-110,0.004554312313381161,0.13030854941363884,0.0003216216216216216
5318,581,584,-0.0001,-110,0.0022743825194716217,0.130047205010778,0.0003243243243243243
5319,581,584,-0.0001,-110,0.00022743825194699923,0.12962569143880207,0.000327027027027027
5321,582,584,0.0032,-110,-0.001586520489192707,0.12907320353624935,0.00032972972972972973
5323,581,584,-0.0001,-110,-0.0031674937039474966,0.12853549952513052,0.00033243243243243244
5325,580,584,-0.0034,-110,-0.004515481392317366,0.12817601843960233,0.00033513513513513515
5328,581,584,-0.0001,-110,-0.005630483554302323,0.1280582603187944,0.00033783783783783786
5330,580,584,-0.0034,-110,-0.006512500189902364,0.12812533828561426,0.00034054054054054057
5332,580,584,-0.0034,-110,-0.007161531299117486,0.12827288978811008,0.0003432432432432433
5335,581,584,-0.0001,-110,-0.00757757688194769,0.12841308690212028,0.000345945945945946
5337,580,584,-0.0034,-110,-0.007760636938392964,0.1284799950185216,0.0003486486486486487
5340,580,584,-0.0034,-111,-0.007760636938392965,0.12842149205203907,0.0003513513513513514
5342,580,585,0.0001,-111,-0.00742865389896537,0.128219397535753,0.0003540540540540541
5344,581,584,-0.0001,-111,-0.006782803744322929,0.12793285850571032,0.0003567567567567568
5346,581,584,-0.0001,-111,-0.005859318322891132,0.12767114948076644,0.00044864864864864874
5349,580,584,-0.0034,-111,-0.004712545407308221,0.1274842603151009,0.0005405405405405407
5351,581,584,-0.0001,-111,-0.003414948694425183,0.12736332306979303,0.0006324324324324326
5353,581,585,0.0034,-111,-0.002057107805305751,0.1273433766914707,0.0007243243243243245
5355,581,584,-0.0001,-111,-0.0007477182852264051,0.1274791772913037,0.0008135135135135136
5357,580,584,-0.0034,-111,0.0003864083963236252,0.12775011511512593,0.0009027027027027028
5360,581,584,-0.0001,-111,0.0012003448456423674,0.12809156501211227,0.0009918918918918919
5362,581,584,-0.0001,-111,0.0015310477448151002,0.12846951607753682,0.001081081081081081
5364,580,584,-0.0034,-111,0.0011973578517143568,0.12884381682163615,0.0011702702702702703
5366,580,584,-0.0034,-111,-7.886195723984514e-17,0.12911609502425178,0.0012594594594594595
5369,580,584,-0.0034,-111,-7.886195723984514e-17,0.12920135924438192,0.0013486486486486487
5371,580,584,-0.0034,-111,-7.886195723984514e-17,0.12911304531873558,0.001437837837837838
5373,580,583,-0.007,-111,-7.886195723984514e-17,0.1289265828555286,0.0015270270270270271
5376,581,584,-0.0001,-111,-7.886195723984514e-17,0.1286979333971462,0.0016162162162162163
5379,581,584,-0.0001,-111,-7.886195723984514e-17,0.1284407482574933,0.0017054054054054055
5381,581,584,-0.0001,-111,-7.886195723984514e-17,0.12815312404651952,0.0017945945945945947
5383,580,585,0.0001,-111,-7.886195723984514e-17,0.12784259019581695,0.001883783783783784
5385,581,585,0.0034,-111,-7.886195723984514e-17,0.12753305051685304,0.001972972972972973
5387,580,584,-0.0034,-111,-7.886195723984514e-17,0.1272949651956925,0.002062162162162162
5390,580,585,0.0001,-111,-7.886195723984514e-17,0.12725701115929677,0.002151351351351351
5392,581,584,-0.0001,-111,-7.886195723984514e-17,0.12751349240937107,0.002151351351351351
5394,581,583,-0.0036,-111,-7.886195723984514e-17,0.12801706644309965,0.002151351351351351
5396,581,584,-0.0001,-111,-7.886195723984514e-17,0.12860523539594412,0.002151351351351351
5399,581,584,-0.0001,-111,-7.886195723984514e-17,0.12913224088140507,0.00224054054054054
5401,581,584,-0.0001,-111,-7.886195723984514e-17,0.12955377741116975,0.002329729729729729
5403,579,583,-0.0103,-111,-7.886195723984514e-17,0.1299031240208634,0.002418918918918918
5405,580,584,-0.0034,-111,-7.886195723984514e-17,0.13023700698964388,0.0025081081081081073
5408,580,584,-0.0034,-111,-7.886195723984514e-17,0.13063337706326172,0.0025972972972972963
5410,580,584,-0.0034,-111,-7.886195723984514e-17,0.13116035309569218,0.0026864864864864853
5412,580,584,-0.0034,-111,-7.886195723984514e-17,0.13176664232888688,0.0027756756756756747
5414,580,584,-0.0034,-111,-7.886195723984514e-17,0.1322923717069255,0.0027756756756756747
5416,580,584,-0.0034,-111,-7.886195723984514e-17,0.13264761881166384,0.0027756756756756747
5420,580,584,-0.0034,-111,-7.886195723984514e-17,0.13286717691459127,0.002775675675675675
5422,579,583,-0.0103,-111,-7.886195723984514e-17,0.13299390351410176,0.0027756756756756756
5424,580,583,-0.007,-111,-7.886195723984514e-17,0.1330521983508603,0.0027756756756756756
5426,580,583,-0.007,-111,-7.886195723984514e-17,0.1330875404232088,0.0027756756756756756
5429,579,584,-0.0068,-111,-7.886195723984514e-17,0.1331228404717202,0.0027756756756756756
5431,579,584,-0.0068,-111,-7.886195723984514e-17,0.1331289180924048,0.0026864864864864866
5433,581,584,-0.0001,-111,-7.886195723984514e-17,0.1330591460456607,0.002597297297297297
5435,580,584,-0.0034,-111,-7.886195723984514e-17,0.13288754238985645,0.0025081081081081077
5438,580,583,-0.007,-111,-7.886195723984514e-17,0.13263095662129365,0.0024135135135135133
5440,581,584,-0.0001,-111,-7.886195723984514e-17,0.13232570982547126,0.002318918918918919
5442,580,583,-0.007,-111,-7.886195723984514e-17,0.132017640232957,0.002224324324324324
5444,579,584,-0.0068,-111,0.0011973578517143568,0.1317852394586504,0.0021297297297297292
5447,580,584,-0.0034,-111,0.0015310477448151002,0.1316673758063378,0.001951351351351351
5449,579,584,-0.0068,-111,0.0012003448456423674,0.13158185255386134,0.0017675675675675674
5451,580,584,-0.0034,-111,0.0003864083963236252,0.13140579192124965,0.0015837837837837836
5453,581,584,-0.0001,-111,-0.0007477182852264051,0.13106346483996328,0.0014054054054054052
5456,580,584,-0.0034,-111,-0.002057107805305751,0.1305210359337227,0.0012270270270270268
5458,579,584,-0.0068,-111,-0.003414948694425183,0.12979988848029092,0.0010486486486486486
5460,581,584,-0.0001,-111,-0.004712545407308221,0.12897707289983507,0.0008702702702702702
5463,580,584,-0.0034,-111,-0.005859318322891132,0.12815198446636158,0.0006864864864864863
5466,580,585,0.0001,-111,-0.006782803744322929,0.1274226027918137,0.0005027027027027025
5468,581,584,-0.0001,-111,-0.006231296047250934,0.1268282235810281,0.00031891891891891867
5470,581,585,0.0034,-111,-0.006229589193577785,0.1263228373021257,0.0001351351351351351
5472,581,584,-0.0001,-112,-0.006560292092750518,0.12586152880377438,-4.864864864864867e-05
5474,582,585,0.0067,-112,-0.007042245502641667,0.12546150964631322,-0.00023243243243243247
5477,581,584,-0.0001,-112,-0.007530522029549255,0.1251584833633002,-0.00041621621621621633
5479,581,584,-0.0001,-112,-0.007916426128196805,0.1249486890653618,-0.0006000000000000002
5481,580,585,0.0001,-112,-0.008127494101733326,0.12479020766386849,-0.000783783783783784
5483,580,585,0.0001,-112,-0.008127494101733326,0.12466214822812438,-0.0009675675675675677
5485,581,585,0.0034,-112,-0.007916426128196805,0.1245773241038414,-0.0011513513513513516
5487,580,584,-0.0034,-112,-0.007530522029549255,0.12450898773861041,-0.0013351351351351352
5490,581,585,0.0034,-112,-0.007042245502641667,0.12436630381711308,-0.001518918918918919
5492,581,585,0.0034,-112,-0.006560292092750518,0.12409866196694638,-0.0017027027027027028
5494,581,585,0.0034,-113,-0.006229589193577786,0.12376659919828564,-0.0018864864864864867
5496,582,584,0.0032,-113,-0.006231296047250936,0.12344460123080875,-0.00207027027027027
5498,581,584,-0.0001,-113,-0.00678280374432293,0.1231328908058025,-0.0021648648648648645
5501,581,585,0.0034,-113,-0.005859318322891133,0.1228474221698165,-0.002259459459459459
5504,582,585,0.0067,-113,-0.004712545407308223,0.12268992060491409,-0.0023540540540540533
5506,581,584,-0.0001,-113,-0.003414948694425184,0.12272169797500182,-0.0024486486486486477
5508,581,585,0.0034,-113,-0.002057107805305752,0.12285255568355904,-0.002543243243243242
5510,581,585,0.0034,-113,-0.0007477182852264066,0.12294665142807246,-0.002727027027027026
5512,582,585,0.0067,-113,0.00038640839632362374,0.1229880708485596,-0.00291081081081081
5515,580,585,0.0001,-113,0.001200344845642366,0.12304482525671981,-0.0030945945945945945
5517,580,585,0.0001,-113,0.001531047744815099,0.12310517525867425,-0.0031891891891891884
5519,580,585,0.0001,-113,0.001197357851714355,0.12308280099070279,-0.0032837837837837833
5521,582,585,0.0067,-113,-8.028289340632884e-17,0.12295871879291265,-0.0034621621621621617
5523,580,585,0.0001,-113,-8.028289340632884e-17,0.12278920037523613,-0.00364054054054054
5525,581,585,0.0034,-113,-8.028289340632884e-17,0.12258245058817008,-0.0038189189189189185
5528,580,585,0.0001,-113,-8.028289340632884e-17,0.12229236962111067,-0.0039972972972972965
5530,582,585,0.0067,-113,-8.028289340632884e-17,0.12194292456965593,-0.004091891891891891
5532,582,585,0.0067,-113,-8.028289340632884e-17,0.12161242597451878,-0.004181081081081081
5534,582,584,0.0032,-113,-8.028289340632884e-17,0.12127604712420763,-0.004270270270270269
5536,581,585,0.0034,-113,-8.028289340632884e-17,0.12082596269159898,-0.004364864864864864
5538,582,585,0.0067,-113,-8.028289340632884e-17,0.12027913284588315,-0.004459459459459458
5541,581,585,0.0034,-113,-8.028289340632884e-17,0.11979854159053481,-0.004554054054054053
5543,581,585,0.0034,-113,-8.028289340632884e-17,0.11946340642343596,-0.004648648648648647
5545,581,585,0.0034,-113,-8.028289340632884e-17,0.11918535648437528,-0.004737837837837836
5548,583,586,0.0134,-113,-8.028289340632884e-17,0.11889766950203368,-0.004827027027027025
5550,581,586,0.0069,-113,-8.028289340632884e-17,0.11864492889052514,-0.004916216216216214
5552,581,585,0.0034,-113,0.001197357851714355,0.11843365864663988,-0.005005405405405404
5554,581,586,0.0069,-113,0.001531047744815099,0.11818792292525163,-0.005094594594594593
5557,583,585,0.01,-113,0.001200344845642366,0.1179121596617296,-0.005183783783783782
5559,581,586,0.0069,-113,0.00038640839632362374,0.11770394729854712,-0.005272972972972971
5561,581,585,0.0034,-113,-0.0007477182852264066,0.11756904032506399,-0.005362162162162161
5563,581,585,0.0034,-113,-0.002057107805305752,0.11743106774593924,-0.005451351351351349
5565,583,586,0.0134,-113,-0.003414948694425184,0.11733091070944349,-0.005540540540540539
5567,581,585,0.0034,-113,-0.004712545407308223,0.11738961459673125,-0.005629729729729728
5570,582,586,0.0101,-113,-0.005859318322891133,0.11756597578624334,-0.0057189189189189174
5572,582,585,0.0067,-113,-0.00678280374432293,0.11767169241901138,-0.005808108108108107
5574,583,586,0.0134,-113,-0.007428653898965372,0.11764275005328081,-0.005897297297297295
5576,581,585,0.0034,-113,-0.007760636938392965,0.11760439476454862,-0.005986486486486485
5578,581,585,0.0034,-114,-0.007760636938392967,0.11765115607948927,-0.006075675675675674
5580,581,585,0.0034,-114,-0.007428653898965374,0.11776155282481902,-0.006164864864864863
5583,583,585,0.01,-114,-0.006782803744322931,0.11794238619619261,-0.006254054054054052
5585,582,585,0.0067,-114,-0.0058593183228911345,0.11822434451596964,-0.006343243243243242
5587,582,585,0.0067,-114,-0.004712545407308223,0.11849129921442025,-0.006432432432432431
5590,581,585,0.0034,-114,-0.0034149486944251846,0.11853627006565212,-0.006527027027027026
5592,583,586,0.0134,-114,-0.0020571078053057525,0.11832656603035757,-0.006532432432432431
5594,581,585,0.0034,-114,-0.0007477182852264072,0.11804678127733131,-0.006537837837837837
5596,581,585,0.0034,-114,0.00038640839632362315,0.11785953687210853,-0.006627027027027026
5599,581,585,0.0034,-114,0.0012003448456423653,0.11778012934363857,-0.006808108108108107
5601,583,585,0.01,-114,0.0015310477448150983,0.1177986944227817,-0.0069891891891891884
5603,582,586,0.0101,-114,0.0011973578517143547,0.11793093149555714,-0.007081081081081081
5605,582,585,0.0067,-114,-8.09933614895707e-17,0.11811528502817673,-0.007172972972972973
5607,582,585,0.0067,-114,-8.09933614895707e-17,0.11826680370592837,-0.007264864864864865
5609,583,585,0.01,-114,-8.09933614895707e-17,0.11844855308741611,-0.007356756756756756
5612,581,585,0.0034,-114,-8.09933614895707e-17,0.11878960996892535,-0.007448648648648648
5614,581,585,0.0034,-114,-8.09933614895707e-17,0.11925412498099255,-0.00754054054054054
5616,582,585,0.0067,-114,-8.09933614895707e-17,0.11965746147800829,-0.0076324324324324325
5618,582,585,0.0067,-114,-8.09933614895707e-17,0.11987390627276695,-0.007724324324324324
5620,581,584,-0.0001,-114,-0.0011973578517145164,0.11990868395161544,-0.007816216216216216
5622,580,585,0.0001,-114,-0.0015310477448152603,0.11981395059176159,-0.007997297297297297
5625,582,585,0.0067,-114,-0.001200344845642527,0.11962485900913393,-0.008178378378378377
5627,581,586,0.0069,-114,-0.000386408396323785,0.11933621158704824,-0.008359459459459458
5629,582,585,0.0067,-114,0.0007477182852262453,0.11888762206681,-0.008540540540540539
5632,582,586,0.0101,-114,0.0020571078053055907,0.1182025650935365,-0.00872162162162162
5634,581,586,0.0069,-114,0.003414948694425023,0.11727475453655842,-0.008813513513513511
5636,581,585,0.0034,-114,0.004712545407308061,0.11620854148559748,-0.008905405405405404
5639,583,585,0.01,-114,0.005859318322890973,0.11515846804181487,-0.008997297297297296
